PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;1;28079004_1_38;2024;12;05;3;V;2;V;2;V;2;V;1;V;1;V;1;V;2;V;3;V;4;V;4;V;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;6;28079004_6_48;2024;12;05;0.6;V;0.5;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.6;V;0.7;V;0.6;V;0.7;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;7;28079004_7_8;2024;12;05;68;V;37;V;19;V;11;V;10;V;5;V;6;V;46;V;54;V;103;V;73;V;88;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;8;28079004_8_8;2024;12;05;64;V;49;V;57;V;58;V;37;V;38;V;38;V;53;V;58;V;64;V;62;V;82;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;4;12;28079004_12_8;2024;12;05;168;V;106;V;85;V;76;V;52;V;45;V;46;V;123;V;140;V;222;V;173;V;217;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;6;28079008_6_48;2024;12;05;0.8;V;0.8;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;1;V;1;V;0.7;V;0.6;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;7;28079008_7_8;2024;12;05;96;V;89;V;27;V;12;V;3;V;3;V;4;V;18;V;56;V;114;V;80;V;72;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;8;28079008_8_8;2024;12;05;86;V;75;V;68;V;57;V;41;V;37;V;40;V;54;V;66;V;72;V;70;V;67;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;9;28079008_9_47;2024;12;05;11;V;19;V;19;V;12;V;8;V;1;V;3;V;3;V;6;V;16;V;15;V;13;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;10;28079008_10_47;2024;12;05;16;V;36;V;37;V;19;V;12;V;7;V;8;V;6;V;11;V;51;V;40;V;27;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;12;28079008_12_8;2024;12;05;233;V;211;V;110;V;76;V;45;V;42;V;46;V;81;V;151;V;247;V;193;V;177;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;14;28079008_14_6;2024;12;05;2;V;2;V;2;V;3;V;11;V;12;V;15;V;8;V;2;V;3;V;8;V;12;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;20;28079008_20_59;2024;12;05;11.6;V;11.9;V;10.3;V;5.9;V;4.7;V;3.2;V;3.3;V;3.1;V;6.3;V;23.4;V;13.6;V;9;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;30;28079008_30_59;2024;12;05;2.4;V;2.4;V;1.9;V;1.7;V;1.2;V;1.3;V;1.2;V;1.2;V;1.8;V;4.2;V;3.3;V;2.6;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;8;35;28079008_35_59;2024;12;05;3;V;3.4;V;3;V;1.5;V;1.1;V;0.7;V;0.7;V;0.6;V;1.3;V;5.4;V;3.1;V;2;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;079;11;7;28079011_7_8;2024;12;05;21;V;35;V;21;V;5;V;1;V;1;V;1;V;3;V;53;V;93;V;58;V;46;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
