DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2012,2680,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2013,3160,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2014,5655,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2015,12590,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2016,24685,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2017,17800,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2018,10620,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2019,5620,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2020,5000,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2021,9500,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2022,11455,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Austria,2023,14705,
ESTAT:TPS00192(1.0),02/10/24 23:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Belgium,2012,3985,
